Rank,Avg,Pos,Name,Team,Age,FrankG,Jason K,Justin T,Value,Follow
1,1.00,DE (DL1),Aidan Hutchinson,DET,25,1,1,1,,
2,2.00,DE (DL2),Will Anderson Jr,HOU,24,2,2,2,,
3,3.67,DE (DL3),Micah Parsons,GB,26,3,5,3,,
4,4.67,DE (DL4),Jared Verse,LAR,25,4,6,4,,
5,5.67,LB1,Jack Campbell,DET,26,5,4,8,,
6,6.00,LB2,Carson Schwesinger,CLE,-,6,3,9,,
7,6.67,DE (DL5),Myles Garrett,CLE,30,7,8,5,,
8,7.33,DE (DL6),Nick Bosa,SF,28,8,7,7,,
9,9.67,DE (DL7),Maxx Crosby,LV,28,9,14,6,,
10,10.00,DE (DL8),Nik Bonitto,DEN,-,10,10,10,,
11,10.33,DE (DL9),Abdul Carter,NYG,22,11,9,11,,
12,12.67,LB3,Edgerrin Cooper,GB,24,12,12,14,,
13,13.33,DE (DL10),Brian Burns,NYG,27,14,13,13,,
14,13.67,LB4,Ernest Jones,SEA,26,13,11,17,,
15,14.00,DE (DL11),TJ Watt,PIT,31,15,15,12,,
16,16.00,LB5,Roquan Smith,BAL,28,16,17,15,,
17,17.00,LB6,Jamien Sherwood,NYJ,-,17,16,18,,
18,18.33,LB7,Fred Warner,SF,29,18,18,19,,
19,18.67,LB8,Nick Bolton,KC,26,19,21,16,,
20,20.67,LB9,Zack Baun,PHI,29,20,19,23,,
21,21.67,LB10,Jordyn Brooks,MIA,28,21,20,24,,
22,23.33,DE (DL12),Alex Highsmith,PIT,28,22,28,20,,
23,24.33,DE (DL13),Laiatu Latu,IND,25,23,29,21,,
24,25.33,DE (DL14),Josh Hines-Allen,JAC,28,24,30,22,,
25,25.67,DT (DL15),Jalen Carter,PHI,24,25,26,26,,
26,29.33,LB11,Daiyan Henley,LAC,26,26,23,39,,
27,31.67,DE (DL16),Danielle Hunter,HOU,31,27,34,34,,
28,32.00,DT (DL17),Jeffery Simmons,TEN,28,29,27,40,,
29,32.67,DE (DL18),Tuli Tuipulotu,LAC,23,28,45,25,,
30,33.00,LB12,Jihaad Campbell,PHI,22,31,33,35,,
31,33.33,LB13,Quay Walker,LV,25,30,39,31,,
32,34.00,LB14,Foye Oluokun,JAC,30,32,24,46,,
33,34.67,DE (DL19),Gregory Rousseau,BUF,25,33,43,28,,
34,35.00,LB15,Nakobe Dean,LV,25,36,40,29,,
35,39.00,LB16,Payton Wilson,PIT,25,35,46,36,,
36,39.00,LB17,Cedric Gray,TEN,-,65,22,30,,
37,40.00,DE (DL20),Chop Robinson,MIA,22,34,59,27,,
38,41.00,LB18,Terrel Bernard,BUF,-,37,44,42,,
39,41.00,DT (DL21),Byron Murphy II,SEA,23,38,25,60,,
40,41.67,S (DB1),Brian Branch,DET,24,39,49,37,,
41,42.33,LB19,TJ Edwards,CHI,29,40,54,33,,
42,42.33,DE (DL22),Dallas Turner,MIN,23,42,32,53,,
43,43.00,LB20,Zaire Franklin,IND,29,41,56,32,,
44,43.33,S (DB2),Kyle Hamilton,BAL,25,44,36,50,,
45,44.67,DE (DL23),Jonathan Greenard,MIN,28,43,48,43,,
46,45.00,LB21,Azeez Al-Shaair,HOU,28,45,52,38,,
47,47.33,LB22,Devin Lloyd,CAR,27,49,38,55,,
48,50.33,LB23,Kaden Elliss,NO,30,47,60,44,,
49,50.33,LB24,Patrick Queen,PIT,26,48,51,52,,
50,51.33,DE (DL24),George Karlaftis,KC,24,50,50,54,,
51,53.33,DE (DL25),Trey Hendrickson,BAL,31,51,62,47,,
52,55.00,LB25,Quincy Williams,NYJ,29,46,78,41,,
53,55.33,DT (DL26),Quinnen Williams,DAL,28,53,64,49,,
54,56.67,DT (DL27),Dexter Lawrence,NYG,28,54,68,48,,
55,57.33,DE (DL28),Jaelan Phillips,CAR,26,52,41,79,,
56,58.33,LB26,Tremaine Edmunds,NYG,27,55,42,78,,
57,59.67,DT (DL29),Kobie Turner,LAR,26,57,63,59,,
58,62.00,DE (DL30),Travon Walker,JAC,25,56,85,45,,
59,63.00,DE (DL31),Jalon Walker,ATL,22,59,47,83,,
60,64.00,LB27,Robert Spillane,NE,30,60,55,77,,
61,64.67,DT (DL32),DeForest Buckner,IND,32,61,67,66,,
62,65.00,LB28,Bobby Okereke,FA,29,58,80,57,,
63,68.67,LB29,Blake Cashman,MIN,-,64,53,89,,
64,69.67,S (DB3),Antoine Winfield,TB,27,68,90,51,,
65,70.33,DE (DL33),YaYa Diaby,TB,26,62,86,63,,
66,71.33,S (DB4),Budda Baker,ARI,30,71,71,72,,
67,71.67,DE (DL34),Byron Young,LAR,28,69,61,85,,
68,72.00,DE (DL35),Kayvon Thibodeaux,NYG,25,63,84,69,,
69,72.33,S (DB5),Nick Cross,WAS,-,74,72,71,,
70,72.67,S (DB6),Derwin James,LAC,29,75,73,70,,
71,73.00,S (DB7),Nick Emmanwori,SEA,22,67,35,117,,
72,78.00,LB30,Frankie Luvu,WAS,29,70,106,58,,
73,81.67,DT (DL36),Zach Allen,DEN,28,73,88,84,,
74,82.00,LB31,Dee Winters,SF,25,66,77,103,,
75,83.00,DE (DL37),Jermaine Johnson,TEN,27,77,107,65,,
76,83.67,CB (DB8),Devon Witherspoon,SEA,25,78,98,75,,
77,84.00,DE (DL38),Will McDonald IV,NYJ,26,79,109,64,,
78,84.33,DT (DL39),Derrick Brown,CAR,27,72,93,88,,
79,84.33,DE (DL40),Jonathon Cooper,DEN,-,76,96,81,,
80,87.33,DT (DL41),Calijah Kancey,TB,25,80,120,62,,
81,87.67,LB32,Nate Landman,LAR,27,81,31,-,,
82,88.33,LB33,Devin Bush,CHI,27,-,58,56,,
83,91.00,DE (DL42),Andrew Van Ginkel,MIN,-,89,69,115,,
84,91.33,LB34,Bobby Wagner,WAS,35,83,79,112,,
85,91.33,LB35,DeMarvion Overshown,DAL,25,86,37,-,,
86,91.33,DT (DL43),Braden Fiske,LAR,-,84,103,87,,
87,92.33,S (DB9),Xavier McKinney,GB,26,85,118,74,,
88,92.67,DE (DL44),Mykel Williams,SF,21,82,129,67,,
89,93.33,CB (DB10),Cooper DeJean,PHI,-,88,65,127,,
90,97.33,LB36,Dre Greenlaw,SF,28,87,123,82,,
91,98.33,DT (DL45),Leonard Williams,SEA,31,95,66,134,,
92,98.67,DT (DL46),Jer'Zhan Newton,WAS,23,93,102,101,,
93,99.00,DE (DL47),Nick Herbig,PIT,24,92,105,100,,
94,99.00,DT (DL48),Mason Graham,CLE,22,91,104,102,,
95,100.00,S (DB11),Tykee Smith,TB,25,90,87,123,,
96,101.00,DT (DL49),Ed Oliver,BUF,28,96,100,107,,
97,102.00,DE (DL50),Nolan Smith,PHI,25,94,-,61,,
98,102.33,LB37,Tyrel Dodson,MIA,-,98,112,97,,
99,104.67,DE (DL51),Montez Sweat,CHI,29,97,141,76,,
100,105.00,LB38,Trevin Wallace,CAR,23,99,117,99,,
101,106.00,S (DB12),Jessie Bates,ATL,29,101,121,96,,
102,107.00,DE (DL52),Mike Green,BAL,-,102,-,68,,
103,107.33,DE (DL53),Rashan Gary,DAL,28,100,142,80,,
104,107.33,DT (DL54),Justin Madubuike,BAL,28,104,132,86,,
105,107.33,LB39,Alex Singleton,DEN,32,129,74,119,,
106,109.67,S (DB13),Tyler Nubin,NYG,24,105,-,73,,
107,110.33,LB40,Teddye Buchanan,BAL,23,103,95,133,,
108,111.67,LB41,Leo Chenal,WAS,25,127,57,-,,
109,112.67,LB42,Divine Deablo,ATL,27,112,75,-,,
110,112.67,LB43,Drake Thomas,SEA,26,111,76,-,,
111,113.33,S (DB14),Jalen Pitre,HOU,26,119,70,-,,
112,113.33,DE (DL55),Donovan Ezeiruaku,DAL,22,107,82,-,,
113,114.00,DE (DL56),Chase Young,NO,26,108,83,-,,
114,116.00,S (DB15),Malaki Starks,BAL,22,117,115,116,,
115,116.67,S (DB16),Julian Love,SEA,28,114,114,122,,
116,116.67,DE (DL57),James Pearce Jr,ATL,22,106,-,93,,
117,116.67,DT (DL58),Walter Nolen,ARI,22,110,89,-,,
118,117.00,DT (DL59),Zach Sieler,MIA,-,115,131,105,,
119,117.00,DE (DL60),Jalyx Hunt,PHI,-,109,91,-,,
120,118.33,S (DB17),Kamren Curl,LAR,26,124,81,150,,
121,118.67,WR1,Travis Hunter,JAC,22,113,92,-,,
122,120.33,LB44,Junior Colson,LAC,23,120,-,90,,
123,120.33,S (DB18),Quentin Lake,LAR,27,116,94,-,,
124,121.00,DE (DL61),Boye Mafe,CIN,27,131,134,98,,
